Code,Area,Year,Measure,Value mar,Value Jun,Value Sep,Value Dec,Housing_Average
E02000235,Croydon 042,2017,Mean,480533,470588,505239,522605,494741.25
E02000236,Croydon 043,2017,Mean,501810,511153,513267,512446,509669
E02000237,Croydon 044,2017,Mean,440489,445612,443098,441360,442639.75
E02006788,Croydon 045,2017,Mean,369597,374673,378477,391997,378686
E02000238,Ealing 001,2017,Mean,357413,361137,370262,391309,370030.25
E02000239,Ealing 002,2017,Mean,430276,416631,433042,430811,427690
E02000240,Ealing 003,2017,Mean,361747,379850,374077,374889,372640.75
E02000241,Ealing 004,2017,Mean,391836,389649,393006,406332,395205.75
E02000242,Ealing 005,2017,Mean,458922,473667,469118,463240,466236.75
E02000243,Ealing 006,2017,Mean,354178,373189,403698,431715,390695
E02000244,Ealing 007,2017,Mean,398245,418707,407132,405479,407390.75
E02000245,Ealing 008,2017,Mean,291574,297335,299196,296655,296190
E02000246,Ealing 009,2017,Mean,360034,367734,359482,357306,361139
E02000247,Ealing 010,2017,Mean,298659,317161,323038,326202,316265
E02000248,Ealing 011,2017,Mean,573409,589360,554577,525188,560633.5
E02000249,Ealing 012,2017,Mean,410266,413397,411866,407082,410652.75
E02000250,Ealing 013,2017,Mean,767513,796835,811279,801696,794330.75
E02000251,Ealing 014,2017,Mean,392782,404147,413952,425677,409139.5
E02000252,Ealing 015,2017,Mean,381944,387023,412149,423476,401148
E02000253,Ealing 016,2017,Mean,457700,461872,471094,473810,466119
E02000254,Ealing 017,2017,Mean,366711,397081,398714,406643,392287.25
E02000255,Ealing 018,2017,Mean,689726,707196,731438,717608,711492
E02000256,Ealing 019,2017,Mean,679891,745451,760657,792869,744717
E02000257,Ealing 020,2017,Mean,725726,780944,830897,803802,785342.25
E02000258,Ealing 021,2017,Mean,700981,714049,683957,622076,680265.75
E02000259,Ealing 022,2017,Mean,606065,584832,578079,590606,589895.5
E02000260,Ealing 023,2017,Mean,338464,343880,337703,313542,333397.25
E02000261,Ealing 024,2017,Mean,537138,569123,622464,681830,602638.75
E02000262,Ealing 025,2017,Mean,591558,599693,608783,602414,600612
E02000263,Ealing 026,2017,Mean,312948,319383,324481,346594,325851.5
E02000264,Ealing 027,2017,Mean,804517,796123,701229,758475,765086
E02000265,Ealing 028,2017,Mean,530234,536733,560051,561111,547032.25
E02000266,Ealing 029,2017,Mean,352854,366663,392120,411555,380798
E02000267,Ealing 030,2017,Mean,572084,552648,555660,528266,552164.5
E02000268,Ealing 031,2017,Mean,810537,835650,786719,796107,807253.25
E02000269,Ealing 032,2017,Mean,785723,816343,845037,842387,822372.5
E02000270,Ealing 033,2017,Mean,547783,555070,575752,580287,564723
E02000271,Ealing 034,2017,Mean,878879,895694,908505,1031259,928584.25
E02000272,Ealing 035,2017,Mean,694668,721673,723832,707269,711860.5
E02000274,Ealing 037,2017,Mean,253165,324071,355878,339386,318125
E02000275,Ealing 038,2017,Mean,449692,495786,508776,508767,490755.25
E02000276,Ealing 039,2017,Mean,626678,615978,596142,591881,607669.75
E02006791,Ealing 040,2017,Mean,740195,778849,778158,724996,755549.5
E02000277,Enfield 001,2017,Mean,349588,356350,365084,358679,357425.25
E02000278,Enfield 002,2017,Mean,311250,316304,305473,311749,311194
E02000279,Enfield 003,2017,Mean,315235,303449,302813,289544,302760.25
E02000280,Enfield 004,2017,Mean,484304,501736,493778,474892,488677.5
E02000281,Enfield 005,2017,Mean,330670,337664,362797,375264,351598.75
E02000282,Enfield 006,2017,Mean,288231,297575,288813,321281,298975
E02000283,Enfield 007,2017,Mean,349348,344186,346000,344351,345971.25
E02000284,Enfield 008,2017,Mean,433181,437382,438010,439899,437118
E02000285,Enfield 009,2017,Mean,521246,508780,498966,488601,504398.25
E02000286,Enfield 010,2017,Mean,430332,462560,449643,443779,446578.5
E02000287,Enfield 011,2017,Mean,703848,688464,649545,662484,676085.25
E02000288,Enfield 012,2017,Mean,336934,331591,319478,322066,327517.25
E02000289,Enfield 013,2017,Mean,658441,664159,667973,660405,662744.5
E02000290,Enfield 014,2017,Mean,301728,289146,279295,272702,285717.75
E02000291,Enfield 015,2017,Mean,387300,383261,370146,386788,381873.75
E02000292,Enfield 016,2017,Mean,400220,404832,399090,392198,399085
E02000293,Enfield 017,2017,Mean,790994,848871,886732,880342,851734.75
E02000294,Enfield 018,2017,Mean,339461,336831,340959,349635,341721.5
E02000295,Enfield 019,2017,Mean,493869,491605,485975,486192,489410.25
E02000296,Enfield 020,2017,Mean,450329,449355,451137,466544,454341.25
E02000297,Enfield 021,2017,Mean,493686,498985,496521,519475,502166.75
E02000298,Enfield 022,2017,Mean,797101,806145,831599,889583,831107
E02000299,Enfield 023,2017,Mean,306032,322403,325386,326658,320119.75
E02000300,Enfield 024,2017,Mean,305346,324867,324926,319613,318688
E02000301,Enfield 025,2017,Mean,300688,289198,285955,312765,297151.5
E02000302,Enfield 026,2017,Mean,492134,487483,503623,479418,490664.5
E02000303,Enfield 027,2017,Mean,305094,324737,330819,319621,320067.75
E02000304,Enfield 028,2017,Mean,777888,761789,753637,763733,764261.75
E02000305,Enfield 029,2017,Mean,549840,562054,551558,540450,550975.5
E02000306,Enfield 030,2017,Mean,284397,275421,263450,263924,271798
E02000307,Enfield 031,2017,Mean,370269,380429,385198,391225,381780.25
E02000308,Enfield 032,2017,Mean,515691,501836,532333,563227,528271.75
E02000309,Enfield 033,2017,Mean,315605,319507,328308,318902,320580.5
E02000311,Enfield 035,2017,Mean,381408,400576,399255,424661,401475
E02000312,Enfield 036,2017,Mean,523222,529536,531918,551375,534012.75
E02006793,Enfield 037,2017,Mean,297079,297473,305381,306550,301620.75
E02000313,Greenwich 001,2017,Mean,221714,226855,226340,227216,225531.25
E02000314,Greenwich 002,2017,Mean,268074,272093,275727,284095,274997.25
E02000315,Greenwich 003,2017,Mean,298950,305793,308344,315341,307107
E02000316,Greenwich 004,2017,Mean,365526,383178,389225,419752,389420.25
E02000317,Greenwich 005,2017,Mean,379958,386344,411895,422346,400135.75
E02000318,Greenwich 006,2017,Mean,310192,319135,333361,324771,321864.75
E02000319,Greenwich 007,2017,Mean,307456,310510,320173,321499,314909.5
E02000320,Greenwich 008,2017,Mean,362623,359594,362023,359391,360907.75
E02000321,Greenwich 009,2017,Mean,289159,301060,312764,317233,305054
E02000323,Greenwich 011,2017,Mean,323180,335585,357133,386027,350481.25
E02000324,Greenwich 012,2017,Mean,458971,456880,460625,449265,456435.25
E02000326,Greenwich 014,2017,Mean,506561,482917,494773,487680,492982.75
E02000327,Greenwich 015,2017,Mean,376814,378054,339451,343000,359329.75
E02000328,Greenwich 016,2017,Mean,689600,685027,677375,692918,686230
E02000329,Greenwich 017,2017,Mean,368431,373538,371654,374024,371911.75
E02000331,Greenwich 019,2017,Mean,383997,385918,381798,377717,382357.5
E02000332,Greenwich 020,2017,Mean,382475,395079,411917,434722,406048.25
E02000333,Greenwich 021,2017,Mean,772737,779434,808208,735106,773871.25
E02000334,Greenwich 022,2017,Mean,420985,428475,444113,435817,432347.5
E02000335,Greenwich 023,2017,Mean,460687,469833,470070,473456,468511.5
E02000337,Greenwich 025,2017,Mean,369043,372224,384208,383669,377286
E02000339,Greenwich 027,2017,Mean,508017,515092,530195,550526,525957.5
E02000340,Greenwich 028,2017,Mean,388797,389314,387297,415902,395327.5
E02000341,Greenwich 029,2017,Mean,360500,359990,362923,336470,354970.75
E02000342,Greenwich 030,2017,Mean,370298,374674,402555,387652,383794.75
E02000343,Greenwich 031,2017,Mean,422695,419332,385656,380854,402134.25
E02000344,Greenwich 032,2017,Mean,411106,422907,433213,446753,428494.75
E02006786,Greenwich 033,2017,Mean,333936,340882,342169,350408,341848.75
E02006927,Greenwich 034,2017,Mean,526201,528897,517156,497229,517370.75
E02006928,Greenwich 035,2017,Mean,490150,473310,490577,491609,486411.5
E02006929,Greenwich 036,2017,Mean,515399,534178,546371,548934,536220.5
E02006930,Greenwich 037,2017,Mean,586189,588142,548472,513752,559138.75
E02006931,Greenwich 038,2017,Mean,683590,649148,623020,643837,649898.75
E02000345,Hackney 001,2017,Mean,718789,651125,634448,552188,639137.5
E02000346,Hackney 002,2017,Mean,597409,617281,626004,661585,625569.75
E02000347,Hackney 003,2017,Mean,694098,664545,663741,610605,658247.25
E02000348,Hackney 004,2017,Mean,468850,423336,525227,576088,498375.25
E02000350,Hackney 006,2017,Mean,600733,628930,639139,656895,631424.25
E02000351,Hackney 007,2017,Mean,600216,571892,503155,503136,544599.75
E02000352,Hackney 008,2017,Mean,617190,703051,725517,715159,690229.25
E02000353,Hackney 009,2017,Mean,720328,771382,801866,746754,760082.5
E02000354,Hackney 010,2017,Mean,529308,531625,550547,565438,544229.5
E02000355,Hackney 011,2017,Mean,726464,774209,758049,808405,766781.75
