MSOA11CD,MSOA11NM,WD20CD,WD20NM,inlondon,ward_area_hectare,green_area_hectare,blue_area_hectare,green+blue_area_hectare,percent_green,percent_blue,percent_green+blue
E02000073,Bexley 009,E05011233,West Heath,TRUE,237.499,65.83053929,0.035101644,65.86564094,27.71823852,0.014779702,27.73301822
E02000070,Bexley 006,E05011233,West Heath,TRUE,237.499,65.83053929,0.035101644,65.86564094,27.71823852,0.014779702,27.73301822
E02000012,Barking and Dagenham 011,E05000035,Longbridge,TRUE,164.53,75.26635915,3.495017844,78.76137699,45.74628283,2.124243508,47.87052634
E02000176,Camden 011,E05000128,Belsize,TRUE,78.057,32.09048621,0.005598865,32.09608508,41.11160589,0.007172791,41.11877869
E02000013,Barking and Dagenham 012,E05000036,Mayesbrook,TRUE,185.642,101.5028364,8.749414007,110.2522504,54.67665528,4.713057394,59.38971267
E02000179,Camden 014,E05000128,Belsize,TRUE,78.057,32.09048621,0.005598865,32.09608508,41.11160589,0.007172791,41.11877869
E02000008,Barking and Dagenham 007,E05000037,Parsloes,TRUE,124.384,56.8955405,0,56.8955405,45.74184823,0,45.74184823
E02000191,Camden 026,E05000129,Bloomsbury,TRUE,102.091,16.52703334,0,16.52703334,16.18853115,0,16.18853115
E02000021,Barking and Dagenham 020,E05000038,River,TRUE,354.369,66.80881388,49.63807554,116.4468894,18.85289455,14.00745425,32.8603488
E02000126,Brent 034,E05000094,Kilburn,TRUE,94.4,26.32022595,0,26.32022595,27.88159528,0,27.88159528
E02000184,Camden 019,E05000130,Camden Town with Primrose Hill,TRUE,116.615,34.14912035,1.94574873,36.09486908,29.28364306,1.668523543,30.9521666
E02000014,Barking and Dagenham 013,E05000038,River,TRUE,354.369,66.80881388,49.63807554,116.4468894,18.85289455,14.00745425,32.8603488
E02000120,Brent 028,E05000094,Kilburn,TRUE,94.4,26.32022595,0,26.32022595,27.88159528,0,27.88159528
E02000183,Camden 018,E05000130,Camden Town with Primrose Hill,TRUE,116.615,34.14912035,1.94574873,36.09486908,29.28364306,1.668523543,30.9521666
E02000023,Barking and Dagenham 022,E05000039,Thames,TRUE,788.848,176.4292967,128.2515693,304.680866,22.36543627,16.25808385,38.62352013
E02000107,Brent 015,E05000095,Mapesbury,TRUE,139.347,58.45207835,0.01068106,58.46275941,41.94713797,0.007665081,41.95480306
E02000100,Brent 008,E05000096,Northwick Park,TRUE,267.991,139.5645064,0.354406193,139.9189126,52.07805726,0.132245558,52.21030282
E02000104,Brent 012,E05000097,Preston,TRUE,238.828,99.78372993,0.779872341,100.5636023,41.78058265,0.32654142,42.10712407
E02000099,Brent 007,E05000097,Preston,TRUE,238.828,99.78372993,0.779872341,100.5636023,41.78058265,0.32654142,42.10712407
E02000124,Brent 032,E05000098,Queens Park,TRUE,148.562,58.62081447,0.02423337,58.64504784,39.45882155,0.016311957,39.47513351
E02000093,Brent 001,E05000099,Queensbury,TRUE,205.124,69.84158036,0.028086828,69.86966719,34.04846842,0.013692609,34.06216103
E02000113,Brent 021,E05000100,Stonebridge,TRUE,405.063,105.5548105,5.664390181,111.2192007,26.05886258,1.398397331,27.45725991
E02000119,Brent 027,E05000100,Stonebridge,TRUE,405.063,105.5548105,5.664390181,111.2192007,26.05886258,1.398397331,27.45725991
E02000105,Brent 013,E05000101,Sudbury,TRUE,212.48,109.58104,0.013509325,109.5945493,51.57240209,0.006357928,51.57876001
E02000108,Brent 016,E05000101,Sudbury,TRUE,212.48,109.58104,0.013509325,109.5945493,51.57240209,0.006357928,51.57876001
E02000109,Brent 017,E05000102,Tokyngton,TRUE,275.917,71.41827041,1.903420983,73.3216914,25.88396888,0.689852739,26.57382162
E02000097,Brent 005,E05000103,Welsh Harp,TRUE,231.897,92.59253493,17.35600898,109.9485439,39.92830219,7.484361153,47.41266335
