MSOA11CD,MSOA11NM,BC_w_MSOA
E02000671,Lewisham 019,26470775.72
E02000672,Lewisham 020,103403641.9
E02000673,Lewisham 021,54457009.06
E02000674,Lewisham 022,36693518.62
E02000675,Lewisham 023,56165523.69
E02000676,Lewisham 024,58911467.56
E02000677,Lewisham 025,43577023.24
E02000678,Lewisham 026,24491197.05
E02000679,Lewisham 027,35049468.46
E02000680,Lewisham 028,37196501.81
E02000681,Lewisham 029,25905352
E02000682,Lewisham 030,19468836.12
E02000683,Lewisham 031,21597046.85
E02000685,Lewisham 033,17604931.24
E02000686,Lewisham 034,39786551.12
E02000687,Lewisham 035,31488819.59
E02000689,Merton 001,36656622.89
E02000690,Merton 002,24172654.08
E02000691,Merton 003,38678254.76
E02000692,Merton 004,29146211.51
E02000693,Merton 005,35564072.29
E02000694,Merton 006,23680844.06
E02000695,Merton 007,64648818
E02000696,Merton 008,18892551.14
E02000697,Merton 009,34809022.27
E02000698,Merton 010,26282882.6
E02000699,Merton 011,31590117.7
E02000700,Merton 012,16926763.81
E02000701,Merton 013,52800516.27
E02000702,Merton 014,21319256.14
E02000703,Merton 015,30943531.76
E02000704,Merton 016,54093845.89
E02000705,Merton 017,13026621.08
E02000706,Merton 018,17865294.91
E02000707,Merton 019,4443290.06
E02000708,Merton 020,45464020.76
E02000709,Merton 021,10846785.03
E02000710,Merton 022,58383922.88
E02000711,Merton 023,30334008.51
E02000712,Merton 024,8162741.378
E02000713,Merton 025,23080146.13
E02000714,Newham 001,11137475.36
E02000715,Newham 002,151246073.9
E02000716,Newham 003,153948021.8
E02000717,Newham 004,124890546.3
E02000718,Newham 005,11413685.15
E02000719,Newham 006,10155147.15
E02000720,Newham 007,77848083.74
E02000721,Newham 008,87171133.48
E02000722,Newham 009,112920584.4
E02000723,Newham 010,8264893.627
E02000724,Newham 011,5233878.935
E02000725,Newham 012,117515703.5
E02000726,Newham 013,62943671.03
E02000727,Newham 014,13806003.6
E02000728,Newham 015,2843618.864
E02000729,Newham 016,12906260.77
E02000730,Newham 017,16343502.41
E02000731,Newham 018,105841798.4
E02000732,Newham 019,24644479.99
E02000733,Newham 020,8993649.483
E02000734,Newham 021,9241328.915
E02000735,Newham 022,52873289.01
E02000736,Newham 023,79622472.05
E02000737,Newham 024,57994440.71
E02000738,Newham 025,158252985.8
E02000739,Newham 026,42597717.97
E02000740,Newham 027,5016182.56
E02000741,Newham 028,62093885.88
E02000742,Newham 029,10923988.99
E02000743,Newham 030,101035974
E02000744,Newham 031,52792172.19
E02000745,Newham 032,14607404.69
E02000746,Newham 033,10851886.5
E02000747,Newham 034,19707331.29
E02000748,Newham 035,6203566.523
E02000749,Newham 036,11626908.39
E02000750,Newham 037,6415650.464
E02000751,Redbridge 001,9293386.668
E02000752,Redbridge 002,6436804.663
E02000753,Redbridge 003,1238448.816
E02000754,Redbridge 004,2991937.386
E02000755,Redbridge 005,4024704.556
E02000756,Redbridge 006,11650791.94
E02000757,Redbridge 007,21934585.54
E02000758,Redbridge 008,14358845.78
E02000759,Redbridge 009,36474267.46
E02000760,Redbridge 010,19237848.7
E02000762,Redbridge 012,54853735.83
E02000763,Redbridge 013,26098671.4
E02000764,Redbridge 014,24176002.75
E02000765,Redbridge 015,28362858.65
E02000767,Redbridge 017,18767393.8
E02000768,Redbridge 018,15474326.56
E02000769,Redbridge 019,21822323.61
E02000770,Redbridge 020,19779596
E02000772,Redbridge 022,39483124.51
