MSOA Code,MSOA Name,house_mean_price,crime_rate,PM_index
E02000566,Islington 013,706823,160,117
E02000567,Islington 014,512709,91,128
E02000568,Islington 015,375461,113,119
E02000569,Islington 016,686078,119,131
E02000570,Islington 017,758459,90,114
E02000571,Islington 018,551162,100,123
E02000572,Islington 019,348141,92,125
E02000573,Islington 020,772651,335,146
E02000574,Islington 021,674789,198,148
E02000575,Islington 022,662865,220,152
E02000576,Islington 023,539062,211,141
E02000577,Kensington and Chelsea 001,322713,150,164
E02000578,Kensington and Chelsea 002,674436,84,145
E02000579,Kensington and Chelsea 003,932292,92,145
E02000580,Kensington and Chelsea 004,899709,176,145
E02000581,Kensington and Chelsea 005,966241,86,123
E02000582,Kensington and Chelsea 006,1586898,168,128
E02000583,Kensington and Chelsea 007,2328636,137,127
E02000584,Kensington and Chelsea 008,1961355,145,131
E02000585,Kensington and Chelsea 009,1348060,66,128
E02000586,Kensington and Chelsea 010,2161788,106,134
E02000587,Kensington and Chelsea 011,2290030,88,143
E02000588,Kensington and Chelsea 012,2450617,243,159
E02000589,Kensington and Chelsea 013,1243932,83,143
E02000590,Kensington and Chelsea 014,1434863,124,152
E02000591,Kensington and Chelsea 015,842563,80,176
E02000592,Kensington and Chelsea 016,1732021,168,145
E02000593,Kensington and Chelsea 017,1475311,104,140
E02000594,Kensington and Chelsea 018,1683472,127,133
E02000595,Kensington and Chelsea 019,1732291,122,138
E02000596,Kensington and Chelsea 020,1189745,104,132
E02000597,Kensington and Chelsea 021,902783,84,142
E02000598,Kingston upon Thames 001,468132,32,84
E02000599,Kingston upon Thames 002,1086787,38,86
E02000600,Kingston upon Thames 003,403141,47,91
E02000601,Kingston upon Thames 004,434826,41,84
E02000602,Kingston upon Thames 005,323078,105,103
E02000603,Kingston upon Thames 006,288570,49,85
E02000604,Kingston upon Thames 007,389197,69,87
E02000605,Kingston upon Thames 008,399891,40,83
E02000606,Kingston upon Thames 009,384826,261,103
E02000607,Kingston upon Thames 010,392855,28,82
E02000608,Kingston upon Thames 011,333256,70,87
E02000609,Kingston upon Thames 012,356788,39,97
E02000610,Kingston upon Thames 013,321067,34,86
E02000611,Kingston upon Thames 014,461915,26,84
E02000612,Kingston upon Thames 015,368977,29,85
E02000613,Kingston upon Thames 016,345758,41,87
E02000614,Kingston upon Thames 017,282228,61,86
E02000615,Kingston upon Thames 018,266456,37,86
E02000616,Kingston upon Thames 019,237920,36,72
E02000617,Kingston upon Thames 020,257696,44,69
E02000618,Lambeth 001,488144,298,147
E02000619,Lambeth 002,430306,70,126
E02000620,Lambeth 003,484050,146,137
E02000621,Lambeth 004,522686,143,142
E02000622,Lambeth 005,372806,94,134
E02000623,Lambeth 006,328497,68,119
E02000624,Lambeth 007,395393,97,118
E02000625,Lambeth 008,283966,92,118
E02000626,Lambeth 009,296387,73,108
E02000627,Lambeth 010,393610,90,120
E02000628,Lambeth 011,246489,267,135
E02000629,Lambeth 012,510623,184,122
E02000630,Lambeth 013,687787,129,125
E02000631,Lambeth 014,421330,99,109
E02000632,Lambeth 015,385431,86,116
E02000633,Lambeth 016,313763,171,128
E02000634,Lambeth 017,432438,179,121
E02000635,Lambeth 018,358964,118,109
E02000636,Lambeth 019,659417,95,106
E02000637,Lambeth 020,359642,86,106
E02000638,Lambeth 021,309198,80,111
E02000639,Lambeth 022,258185,63,115
E02000640,Lambeth 023,499526,62,104
E02000641,Lambeth 024,266765,61,101
E02000642,Lambeth 025,362885,71,108
E02000643,Lambeth 026,397411,73,105
E02000644,Lambeth 027,331698,94,99
E02000645,Lambeth 028,400863,93,99
E02000646,Lambeth 029,313469,107,104
E02000647,Lambeth 030,331696,56,93
E02000648,Lambeth 031,256895,82,94
E02000649,Lambeth 032,305671,85,109
E02000650,Lambeth 033,282830,78,95
E02000651,Lambeth 034,321580,78,96
E02000652,Lambeth 035,254584,44,93
E02000653,Lewisham 001,271405,58,102
E02000654,Lewisham 002,206697,91,104
E02000655,Lewisham 003,214515,75,104
E02000656,Lewisham 004,189532,163,119
E02000657,Lewisham 005,279971,121,126
E02000658,Lewisham 006,341065,73,115
E02000659,Lewisham 007,435559,91,105
E02000660,Lewisham 008,297279,83,108
E02000661,Lewisham 009,429663,90,107
E02000662,Lewisham 010,343000,59,101
E02000663,Lewisham 011,256295,63,99
E02000664,Lewisham 012,235803,210,113
E02000665,Lewisham 013,329857,70,93
E02000666,Lewisham 014,286434,65,101
E02000667,Lewisham 015,317591,57,104
E02000668,Lewisham 016,302958,59,92
E02000669,Lewisham 017,247127,61,101
E02000670,Lewisham 018,209232,76,102
E02000671,Lewisham 019,306905,67,100
E02000672,Lewisham 020,247554,145,105
E02000673,Lewisham 021,359619,77,99
E02000674,Lewisham 022,259407,39,90
E02000675,Lewisham 023,258805,67,90
E02000676,Lewisham 024,304197,57,95
E02000677,Lewisham 025,275455,59,87
E02000678,Lewisham 026,205734,68,88
E02000679,Lewisham 027,254355,65,89
E02000680,Lewisham 028,291198,84,96
E02000681,Lewisham 029,240009,72,91
E02000682,Lewisham 030,224286,91,86
E02000683,Lewisham 031,205211,55,84
E02000684,Lewisham 032,176681,82,88
E02000685,Lewisham 033,233614,74,93
E02000686,Lewisham 034,196963,85,87
E02000687,Lewisham 035,300312,67,91
E02000688,Lewisham 036,223642,100,84
E02000689,Merton 001,656305,60,95
E02000690,Merton 002,1744336,65,83
E02000691,Merton 003,529641,107,97
E02000692,Merton 004,785294,66,95
E02000693,Merton 005,273234,70,100
E02000694,Merton 006,441401,48,98
E02000695,Merton 007,304676,58,90
E02000696,Merton 008,216086,55,90
