MSOA11CD,MSOA11NM,LAD11CD,LAD11NM,RGN11CD,RGN11NM,USUALRES,HHOLDRES,COMESTRES,POPDEN,HHOLDS,AVHHOLDSZ,x,y
E02000163,Bromley 037,E09000006,Bromley,E12000007,London,7650,7650,0,6.8,3072,2.5,547432.706,163305.414
E02000165,Bromley 039,E09000006,Bromley,E12000007,London,7045,7045,0,12.4,2691,2.6,540757.607,159154.491
E02000166,Camden 001,E09000007,Camden,E12000007,London,7924,7916,8,26.2,3537,2.2,527912.726,186726.437
E02000167,Camden 002,E09000007,Camden,E12000007,London,7944,7869,75,38.2,3629,2.2,526612.694,186335.344
E02000168,Camden 003,E09000007,Camden,E12000007,London,8172,8040,132,120.1,3535,2.3,528884.747,185690.045
E02000169,Camden 004,E09000007,Camden,E12000007,London,7637,6981,656,68,2942,2.4,525825.292,185771.052
E02000170,Camden 005,E09000007,Camden,E12000007,London,8338,8293,45,108.1,3685,2.3,524797.818,185450.561
E02000171,Camden 006,E09000007,Camden,E12000007,London,7818,7789,29,149.9,3502,2.2,527754.023,185353.544
E02000172,Camden 007,E09000007,Camden,E12000007,London,10147,9919,228,151.7,4186,2.4,528505.667,185068.692
E02000173,Camden 008,E09000007,Camden,E12000007,London,7675,7565,110,98.6,3569,2.1,526757.640,185085.628
E02000174,Camden 009,E09000007,Camden,E12000007,London,8714,8703,11,159.7,3822,2.3,529332.504,184940.832
E02000175,Camden 010,E09000007,Camden,E12000007,London,8848,8846,2,127.9,4277,2.1,525575.121,184916.509
E02000176,Camden 011,E09000007,Camden,E12000007,London,6373,6289,84,160.2,3261,1.9,527089.711,184765.405
E02000177,Camden 012,E09000007,Camden,E12000007,London,8948,8863,85,170.9,3865,2.3,528137.313,184603.298
E02000178,Camden 013,E09000007,Camden,E12000007,London,8857,8823,34,157.7,4280,2.1,524926.118,184635.243
E02000179,Camden 014,E09000007,Camden,E12000007,London,6329,6305,24,165.5,2870,2.2,527373.230,184462.074
E02000180,Camden 015,E09000007,Camden,E12000007,London,8202,7662,540,169,3394,2.3,529675.722,184479.315
E02000181,Camden 016,E09000007,Camden,E12000007,London,7708,7703,5,142.5,3657,2.1,525803.511,184326.609
E02000182,Camden 017,E09000007,Camden,E12000007,London,6697,6638,59,83.9,2963,2.2,526923.523,184047.219
E02000183,Camden 018,E09000007,Camden,E12000007,London,7913,7909,4,102.5,3881,2,528206.167,183999.327
E02000184,Camden 019,E09000007,Camden,E12000007,London,8882,8726,156,133.6,3655,2.4,529358.079,183919.019
E02000185,Camden 020,E09000007,Camden,E12000007,London,8290,8213,77,175.6,3938,2.1,525770.013,183785.115
E02000186,Camden 021,E09000007,Camden,E12000007,London,6687,6491,196,66.7,3099,2.1,528792.839,183203.771
E02000187,Camden 022,E09000007,Camden,E12000007,London,8155,8064,91,84.2,3290,2.5,529890.127,183329.505
E02000188,Camden 023,E09000007,Camden,E12000007,London,8322,7939,383,163.9,3170,2.5,529192.768,182752.295
