MSOA11CD,MSOA11NM,LAD11CD,LAD11NM,RGN11CD,RGN11NM,USUALRES,HHOLDRES,COMESTRES,POPDEN,HHOLDS,AVHHOLDSZ,x,y,HousingPrice,CC_w,BC_w
E02000161,Bromley 035,E09000006,Bromley,E12000007,London,8410,8378,32,48.9,3369,2.5,545832.763,164818.518,464308.5,3.430203252,4784509.675
E02000162,Bromley 036,E09000006,Bromley,E12000007,London,6693,6647,46,5.2,2889,2.3,544372.219,162660.177,447548,3.515465116,8928489.384
E02000163,Bromley 037,E09000006,Bromley,E12000007,London,7650,7650,0,6.8,3072,2.5,547432.706,163305.414,584092,3.306175439,3708963.544
E02000165,Bromley 039,E09000006,Bromley,E12000007,London,7045,7045,0,12.4,2691,2.6,540757.607,159154.491,367061.25,3.180283688,4404541.369
E02000166,Camden 001,E09000007,Camden,E12000007,London,7924,7916,8,26.2,3537,2.2,527912.726,186726.437,1264387.25,5.609102564,27434018.5
E02000167,Camden 002,E09000007,Camden,E12000007,London,7944,7869,75,38.2,3629,2.2,526612.694,186335.344,1981800.75,5.597692308,45877713.74
E02000168,Camden 003,E09000007,Camden,E12000007,London,8172,8040,132,120.1,3535,2.3,528884.747,185690.045,955845,5.820123457,78481342.43
E02000169,Camden 004,E09000007,Camden,E12000007,London,7637,6981,656,68,2942,2.4,525825.292,185771.052,2243306.25,5.573555556,30594601.16
E02000170,Camden 005,E09000007,Camden,E12000007,London,8338,8293,45,108.1,3685,2.3,524797.818,185450.561,885507.25,5.481923077,33250983.53
E02000171,Camden 006,E09000007,Camden,E12000007,London,7818,7789,29,149.9,3502,2.2,527754.023,185353.544,1067047.25,5.748235294,40460400.62
E02000172,Camden 007,E09000007,Camden,E12000007,London,10147,9919,228,151.7,4186,2.4,528505.667,185068.692,687179.5,5.830288462,31543260.25
E02000173,Camden 008,E09000007,Camden,E12000007,London,7675,7565,110,98.6,3569,2.1,526757.64,185085.628,2023852.75,5.716266667,41567937.27
E02000174,Camden 009,E09000007,Camden,E12000007,London,8714,8703,11,159.7,3822,2.3,529332.504,184940.832,668186,5.897317073,35268513.55
E02000175,Camden 010,E09000007,Camden,E12000007,London,8848,8846,2,127.9,4277,2.1,525575.121,184916.509,786833.25,5.587671233,48053712.89
E02000176,Camden 011,E09000007,Camden,E12000007,London,6373,6289,84,160.2,3261,1.9,527089.711,184765.405,1285551,5.791914894,25344821.11
E02000177,Camden 012,E09000007,Camden,E12000007,London,8948,8863,85,170.9,3865,2.3,528137.313,184603.298,954907.25,5.885125,45431845.56
E02000178,Camden 013,E09000007,Camden,E12000007,London,8857,8823,34,157.7,4280,2.1,524926.118,184635.243,636634.5,5.614,115199368.2
E02000179,Camden 014,E09000007,Camden,E12000007,London,6329,6305,24,165.5,2870,2.2,527373.23,184462.074,1128723.5,5.840240964,19659844.84
E02000180,Camden 015,E09000007,Camden,E12000007,London,8202,7662,540,169,3394,2.3,529675.722,184479.315,773547.25,5.963166667,62643320.17
E02000181,Camden 016,E09000007,Camden,E12000007,London,7708,7703,5,142.5,3657,2.1,525803.511,184326.609,882604.25,5.694285714,38663754.71
E02000182,Camden 017,E09000007,Camden,E12000007,London,6697,6638,59,83.9,2963,2.2,526923.523,184047.219,1294584.25,5.792823529,48782704.8
E02000183,Camden 018,E09000007,Camden,E12000007,London,7913,7909,4,102.5,3881,2,528206.167,183999.327,1716527.25,5.949026549,35633665.02
